step	time	u	v	T
1	1.00000e-01	3.85031e-02	-1.28793e-03	2.77898e+02
2	2.00000e-01	4.15104e-02	5.30516e-03	2.79204e+02
3	3.00000e-01	4.14301e-02	5.59936e-03	2.80223e+02
4	4.00000e-01	4.11678e-02	6.53728e-03	2.80424e+02
5	5.00000e-01	4.11225e-02	6.63821e-03	2.80969e+02
6	6.00000e-01	4.10619e-02	6.74694e-03	2.81111e+02
7	7.00000e-01	4.05473e-02	7.06880e-03	2.81052e+02
8	8.00000e-01	4.02977e-02	7.03703e-03	2.81163e+02
9	9.00000e-01	3.90428e-02	6.88842e-03	2.82435e+02
10	1.00000e+00	3.87630e-02	6.89012e-03	2.82528e+02
11	1.10000e+00	3.85209e-02	6.88490e-03	2.82448e+02
12	1.20000e+00	3.81292e-02	6.79196e-03	2.82121e+02
13	1.30000e+00	3.79511e-02	6.69744e-03	2.82106e+02
14	1.40000e+00	3.77590e-02	6.58346e-03	2.82288e+02
15	1.50000e+00	3.75320e-02	6.46557e-03	2.82657e+02
16	1.60000e+00	3.72521e-02	6.35634e-03	2.83135e+02
17	1.70000e+00	3.69075e-02	6.26027e-03	2.83608e+02
18	1.80000e+00	3.64950e-02	6.17224e-03	2.83967e+02
19	1.90000e+00	3.60215e-02	6.07998e-03	2.84148e+02
20	2.00000e+00	3.55037e-02	5.96949e-03	2.84151e+02
21	2.10000e+00	3.49652e-02	5.83120e-03	2.84034e+02
22	2.20000e+00	3.44335e-02	5.66426e-03	2.83893e+02
23	2.30000e+00	3.39341e-02	5.47727e-03	2.83828e+02
24	2.40000e+00	3.34856e-02	5.28523e-03	2.83906e+02
25	2.50000e+00	3.30942e-02	5.10404e-03	2.84147e+02
26	2.60000e+00	3.27510e-02	4.94462e-03	2.84517e+02
27	2.70000e+00	3.24321e-02	4.80889e-03	2.84939e+02
28	2.80000e+00	3.21033e-02	4.68900e-03	2.85324e+02
29	2.90000e+00	3.17282e-02	4.57020e-03	2.85595e+02
30	3.00000e+00	3.12788e-02	4.43648e-03	2.85714e+02
31	3.10000e+00	3.07449e-02	4.27697e-03	2.85699e+02
32	3.20000e+00	3.01386e-02	4.09085e-03	2.85614e+02
33	3.30000e+00	2.94912e-02	3.88858e-03	2.85545e+02
34	3.40000e+00	2.88446e-02	3.68878e-03	2.85564e+02
35	3.50000e+00	2.82375e-02	3.51204e-03	2.85708e+02
36	3.60000e+00	2.76946e-02	3.37375e-03	2.85959e+02
37	3.70000e+00	2.72195e-02	3.27877e-03	2.86260e+02
38	3.80000e+00	2.67967e-02	3.21991e-03	2.86533e+02
39	3.90000e+00	2.64001e-02	3.18075e-03	2.86712e+02
40	4.00000e+00	2.60061e-02	3.14196e-03	2.86765e+02
41	4.10000e+00	2.56039e-02	3.08874e-03	2.86707e+02
42	4.20000e+00	2.52019e-02	3.01649e-03	2.86589e+02
43	4.30000e+00	2.48241e-02	2.93267e-03	2.86476e+02
44	4.40000e+00	2.45008e-02	2.85407e-03	2.86420e+02
45	4.50000e+00	2.42554e-02	2.80095e-03	2.86437e+02
46	4.60000e+00	2.40940e-02	2.79012e-03	2.86507e+02
47	4.70000e+00	2.40005e-02	2.82961e-03	2.86582e+02
48	4.80000e+00	2.39409e-02	2.91644e-03	2.86609e+02
49	4.90000e+00	2.38754e-02	3.03816e-03	2.86554e+02
50	5.00000e+00	2.37733e-02	3.17751e-03	2.86413e+02
51	5.10000e+00	2.36257e-02	3.31829e-03	2.86213e+02
52	5.20000e+00	2.34510e-02	3.45045e-03	2.85998e+02
53	5.30000e+00	2.32905e-02	3.57260e-03	2.85809e+02
54	5.40000e+00	2.31951e-02	3.69145e-03	2.85658e+02
55	5.50000e+00	2.32091e-02	3.81874e-03	2.85523e+02
56	5.60000e+00	2.33555e-02	3.96721e-03	2.85360e+02
57	5.70000e+00	2.36289e-02	4.14687e-03	2.85123e+02
58	5.80000e+00	2.39976e-02	4.36249e-03	2.84792e+02
59	5.90000e+00	2.44142e-02	4.61282e-03	2.84384e+02
60	6.00000e+00	2.48305e-02	4.89107e-03	2.83954e+02
61	6.10000e+00	2.52111e-02	5.18658e-03	2.83567e+02
62	6.20000e+00	2.55414e-02	5.48726e-03	2.83276e+02
63	6.30000e+00	2.58279e-02	5.78223e-03	2.83099e+02
64	6.40000e+00	2.60913e-02	6.06443e-03	2.83008e+02
65	6.50000e+00	2.63563e-02	6.33272e-03	2.82948e+02
66	6.60000e+00	2.66428e-02	6.59231e-03	2.82854e+02
67	6.70000e+00	2.69594e-02	6.85375e-03	2.82686e+02
68	6.80000e+00	2.80526e-02	7.76173e-03	2.81898e+02
69	6.90000e+00	2.84435e-02	8.11677e-03	2.81716e+02
70	7.00000e+00	2.88553e-02	8.48450e-03	2.81653e+02
71	7.10000e+00	3.07199e-02	9.81805e-03	2.82025e+02
72	7.20000e+00	3.11637e-02	1.01046e-02	2.82044e+02
73	7.30000e+00	3.15481e-02	1.03905e-02	2.82031e+02
74	7.40000e+00	3.22730e-02	1.13114e-02	2.82094e+02
75	7.50000e+00	3.24266e-02	1.16253e-02	2.82189e+02
76	7.60000e+00	3.25856e-02	1.19221e-02	2.82312e+02
77	7.70000e+00	3.27727e-02	1.21900e-02	2.82446e+02
78	7.80000e+00	3.32343e-02	1.26236e-02	2.82719e+02
79	7.90000e+00	3.34694e-02	1.27981e-02	2.82861e+02
80	8.00000e+00	3.36695e-02	1.29559e-02	2.83017e+02
81	8.10000e+00	3.38131e-02	1.31033e-02	2.83192e+02
82	8.20000e+00	3.39235e-02	1.33607e-02	2.83593e+02
83	8.30000e+00	3.39211e-02	1.34530e-02	2.83801e+02
84	8.40000e+00	3.39084e-02	1.35063e-02	2.84004e+02
85	8.50000e+00	3.38969e-02	1.35138e-02	2.84205e+02
86	8.60000e+00	3.38815e-02	1.34756e-02	2.84418e+02
87	8.70000e+00	3.38413e-02	1.33978e-02	2.84656e+02
88	8.80000e+00	3.37463e-02	1.32899e-02	2.84932e+02
89	8.90000e+00	3.35688e-02	1.31588e-02	2.85243e+02
90	9.00000e+00	3.32953e-02	1.30053e-02	2.85574e+02
91	9.10000e+00	3.29341e-02	1.28223e-02	2.85900e+02
