  0.00e+00	  2.50e-03	0.00000e+00
  0.00e+00	  7.50e-03	0.00000e+00
  0.00e+00	  1.25e-02	0.00000e+00
  0.00e+00	  1.75e-02	0.00000e+00
  0.00e+00	  2.25e-02	0.00000e+00
  0.00e+00	  2.75e-02	0.00000e+00
  0.00e+00	  3.25e-02	0.00000e+00
  0.00e+00	  3.75e-02	0.00000e+00
  0.00e+00	  4.25e-02	0.00000e+00
  0.00e+00	  4.75e-02	0.00000e+00
  0.00e+00	  5.25e-02	0.00000e+00
  0.00e+00	  5.75e-02	0.00000e+00
  0.00e+00	  6.25e-02	0.00000e+00
  0.00e+00	  6.75e-02	0.00000e+00
  0.00e+00	  7.25e-02	0.00000e+00
  0.00e+00	  7.75e-02	0.00000e+00
  0.00e+00	  8.25e-02	0.00000e+00
  0.00e+00	  8.75e-02	0.00000e+00
  0.00e+00	  9.25e-02	0.00000e+00
  0.00e+00	  9.75e-02	0.00000e+00
  0.00e+00	  1.03e-01	0.00000e+00
  0.00e+00	  1.08e-01	0.00000e+00
  0.00e+00	  1.13e-01	0.00000e+00
  0.00e+00	  1.18e-01	0.00000e+00

  0.00e+00	  2.50e-03	2.00000e-02
  0.00e+00	  7.50e-03	2.00000e-02
  0.00e+00	  1.25e-02	2.00000e-02
  0.00e+00	  1.75e-02	2.00000e-02
  0.00e+00	  2.25e-02	2.00000e-02
  0.00e+00	  2.75e-02	2.00000e-02
  0.00e+00	  3.25e-02	2.00000e-02
  0.00e+00	  3.75e-02	2.00000e-02
  0.00e+00	  4.25e-02	2.00000e-02
  0.00e+00	  4.75e-02	2.00000e-02
  0.00e+00	  5.25e-02	2.00000e-02
  0.00e+00	  5.75e-02	2.00000e-02
  0.00e+00	  6.25e-02	2.00000e-02
  0.00e+00	  6.75e-02	2.00000e-02
  0.00e+00	  7.25e-02	2.00000e-02
  0.00e+00	  7.75e-02	2.00000e-02
  0.00e+00	  8.25e-02	2.00000e-02
  0.00e+00	  8.75e-02	2.00000e-02
  0.00e+00	  9.25e-02	2.00000e-02
  0.00e+00	  9.75e-02	2.00000e-02
  0.00e+00	  1.03e-01	2.00000e-02
  0.00e+00	  1.08e-01	2.00000e-02
  0.00e+00	  1.13e-01	2.00000e-02
  0.00e+00	  1.18e-01	2.00000e-02

  2.00e-02	  2.50e-03	1.21712e-02
  2.00e-02	  7.50e-03	1.96160e-02
  2.00e-02	  1.25e-02	2.18967e-02
  2.00e-02	  1.75e-02	2.23562e-02
  2.00e-02	  2.25e-02	2.21960e-02
  2.00e-02	  2.75e-02	2.18727e-02
  2.00e-02	  3.25e-02	2.15554e-02
  2.00e-02	  3.75e-02	2.12973e-02
  2.00e-02	  4.25e-02	2.11069e-02
  2.00e-02	  4.75e-02	2.09778e-02
  2.00e-02	  5.25e-02	2.09012e-02
  2.00e-02	  5.75e-02	2.08699e-02
  2.00e-02	  6.25e-02	2.08804e-02
  2.00e-02	  6.75e-02	2.09325e-02
  2.00e-02	  7.25e-02	2.10300e-02
