  0.00e+00	  0.00e+00	0.00000e+00
  0.00e+00	  5.00e-03	0.00000e+00
  0.00e+00	  1.00e-02	0.00000e+00
  0.00e+00	  1.50e-02	0.00000e+00
  0.00e+00	  2.00e-02	0.00000e+00
  0.00e+00	  2.50e-02	0.00000e+00
  0.00e+00	  3.00e-02	0.00000e+00
  0.00e+00	  3.50e-02	0.00000e+00
  0.00e+00	  4.00e-02	0.00000e+00
  0.00e+00	  4.50e-02	0.00000e+00
  0.00e+00	  5.00e-02	0.00000e+00
  0.00e+00	  5.50e-02	0.00000e+00
  0.00e+00	  6.00e-02	0.00000e+00
  0.00e+00	  6.50e-02	0.00000e+00
  0.00e+00	  7.00e-02	0.00000e+00
  0.00e+00	  7.50e-02	0.00000e+00
  0.00e+00	  8.00e-02	0.00000e+00
  0.00e+00	  8.50e-02	0.00000e+00
  0.00e+00	  9.00e-02	0.00000e+00
  0.00e+00	  9.50e-02	0.00000e+00
  0.00e+00	  1.00e-01	0.00000e+00
  0.00e+00	  1.05e-01	0.00000e+00
  0.00e+00	  1.10e-01	0.00000e+00
  0.00e+00	  1.15e-01	0.00000e+00

  1.00e-02	  0.00e+00	0.00000e+00
  1.00e-02	  5.00e-03	2.95377e-03
  1.00e-02	  1.00e-02	3.48379e-03
  1.00e-02	  1.50e-02	3.25573e-03
  1.00e-02	  2.00e-02	2.80703e-03
  1.00e-02	  2.50e-02	2.33446e-03
  1.00e-02	  3.00e-02	1.90580e-03
  1.00e-02	  3.50e-02	1.53653e-03
  1.00e-02	  4.00e-02	1.22167e-03
  1.00e-02	  4.50e-02	9.49570e-04
  1.00e-02	  5.00e-02	7.07543e-04
  1.00e-02	  5.50e-02	4.83733e-04
  1.00e-02	  6.00e-02	2.67367e-04
  1.00e-02	  6.50e-02	4.83170e-05
  1.00e-02	  7.00e-02	-1.83586e-04
  1.00e-02	  7.50e-02	-4.39285e-04
  1.00e-02	  8.00e-02	-7.31091e-04
  1.00e-02	  8.50e-02	-1.07270e-03
  1.00e-02	  9.00e-02	-1.47762e-03
  1.00e-02	  9.50e-02	-1.95365e-03
  1.00e-02	  1.00e-01	-2.48853e-03
  1.00e-02	  1.05e-01	-3.01614e-03
  1.00e-02	  1.10e-01	-3.33603e-03
  1.00e-02	  1.15e-01	-2.89647e-03

  3.00e-02	  0.00e+00	0.00000e+00
  3.00e-02	  5.00e-03	1.38124e-03
  3.00e-02	  1.00e-02	2.38741e-03
  3.00e-02	  1.50e-02	2.79583e-03
  3.00e-02	  2.00e-02	2.81958e-03
  3.00e-02	  2.50e-02	2.64066e-03
  3.00e-02	  3.00e-02	2.36991e-03
  3.00e-02	  3.50e-02	2.06701e-03
  3.00e-02	  4.00e-02	1.76035e-03
  3.00e-02	  4.50e-02	1.46063e-03
  3.00e-02	  5.00e-02	1.16924e-03
  3.00e-02	  5.50e-02	8.83056e-04
  3.00e-02	  6.00e-02	5.96975e-04
  3.00e-02	  6.50e-02	3.05140e-04
  3.00e-02	  7.00e-02	1.52550e-06
  3.00e-02	  7.50e-02	-3.19615e-04
  3.00e-02	  8.00e-02	-6.62937e-04
  3.00e-02	  8.50e-02	-1.03006e-03
  3.00e-02	  9.00e-02	-1.41529e-03
  3.00e-02	  9.50e-02	-1.79696e-03
  3.00e-02	  1.00e-01	-2.12192e-03
  3.00e-02	  1.05e-01	-2.28091e-03
  3.00e-02	  1.10e-01	-2.08070e-03
  3.00e-02	  1.15e-01	-1.27240e-03

  5.00e-02	  0.00e+00	0.00000e+00
  5.00e-02	  5.00e-03	5.44880e-04
  5.00e-02	  1.00e-02	1.39882e-03
  5.00e-02	  1.50e-02	2.03659e-03
  5.00e-02	  2.00e-02	2.37017e-03
  5.00e-02	  2.50e-02	2.46612e-03
  5.00e-02	  3.00e-02	2.40708e-03
  5.00e-02	  3.50e-02	2.25598e-03
  5.00e-02	  4.00e-02	2.05340e-03
  5.00e-02	  4.50e-02	1.82273e-03
