step	time	u	v	T
1	1.00000e-01	3.79337e-02	-1.51538e-03	2.74830e+02
2	2.00000e-01	3.83934e-02	6.91771e-03	2.82710e+02
3	3.00000e-01	3.76892e-02	6.77890e-03	2.82040e+02
4	4.00000e-01	3.55805e-02	6.07121e-03	2.84444e+02
5	5.00000e-01	3.32700e-02	5.36771e-03	2.83634e+02
6	6.00000e-01	3.11420e-02	4.49685e-03	2.86151e+02
7	7.00000e-01	2.84657e-02	3.63474e-03	2.85225e+02
8	8.00000e-01	2.56919e-02	3.06979e-03	2.87482e+02
9	9.00000e-01	2.40358e-02	2.76702e-03	2.85929e+02
10	1.00000e+00	2.32329e-02	2.99756e-03	2.87368e+02
11	1.10000e+00	2.28205e-02	3.70975e-03	2.84892e+02
12	1.20000e+00	2.27388e-02	3.88286e-03	2.84878e+02
13	1.30000e+00	2.40804e-02	4.70332e-03	2.84906e+02
14	1.40000e+00	2.46274e-02	4.94747e-03	2.84175e+02
15	1.50000e+00	2.59643e-02	6.25783e-03	2.82418e+02
16	1.60000e+00	2.61896e-02	6.59162e-03	2.82695e+02
17	1.70000e+00	2.80875e-02	7.87430e-03	2.81433e+02
18	1.80000e+00	3.02667e-02	9.85989e-03	2.82049e+02
19	1.90000e+00	3.07246e-02	1.01236e-02	2.82017e+02
20	2.00000e+00	3.22591e-02	1.11552e-02	2.81874e+02
21	2.10000e+00	3.24613e-02	1.15109e-02	2.82031e+02
22	2.20000e+00	3.30046e-02	1.26752e-02	2.82549e+02
23	2.30000e+00	3.32336e-02	1.28173e-02	2.82650e+02
24	2.40000e+00	3.34950e-02	1.29284e-02	2.82785e+02
25	2.50000e+00	3.40438e-02	1.33074e-02	2.83453e+02
26	2.60000e+00	3.40561e-02	1.34482e-02	2.83705e+02
27	2.70000e+00	3.39987e-02	1.35563e-02	2.83931e+02
28	2.80000e+00	3.39107e-02	1.36028e-02	2.84124e+02
29	2.90000e+00	3.37699e-02	1.34692e-02	2.84476e+02
30	3.00000e+00	3.37221e-02	1.33143e-02	2.84694e+02
31	3.10000e+00	3.36479e-02	1.31360e-02	2.84971e+02
32	3.20000e+00	3.34994e-02	1.29570e-02	2.85304e+02
33	3.30000e+00	3.32392e-02	1.27828e-02	2.85673e+02
34	3.40000e+00	3.28586e-02	1.25984e-02	2.86042e+02
35	3.50000e+00	3.23842e-02	1.23730e-02	2.86378e+02
36	3.60000e+00	3.18702e-02	1.20723e-02	2.86662e+02
37	3.70000e+00	3.13768e-02	1.16733e-02	2.86883e+02
38	3.80000e+00	3.09460e-02	1.11739e-02	2.87047e+02
39	3.90000e+00	3.05796e-02	1.05937e-02	2.87175e+02
40	4.00000e+00	3.02402e-02	9.96625e-03	2.87316e+02
41	4.10000e+00	2.98484e-02	9.32229e-03	2.87537e+02
42	4.20000e+00	2.93374e-02	8.67730e-03	2.87922e+02
43	4.30000e+00	2.86663e-02	8.02171e-03	2.88530e+02
44	4.40000e+00	2.78284e-02	7.32561e-03	2.89312e+02
45	4.50000e+00	2.68249e-02	6.55207e-03	2.90091e+02
46	4.60000e+00	2.56963e-02	5.67490e-03	2.90652e+02
47	4.70000e+00	2.45076e-02	4.68672e-03	2.90892e+02
48	4.80000e+00	2.33243e-02	3.60255e-03	2.90833e+02
49	4.90000e+00	2.21869e-02	2.45768e-03	2.90585e+02
50	5.00000e+00	2.10963e-02	1.29493e-03	2.90309e+02
51	5.10000e+00	2.00156e-02	1.50179e-04	2.90166e+02
52	5.20000e+00	1.88867e-02	-9.58962e-04	2.90270e+02
53	5.30000e+00	1.76543e-02	-2.03673e-03	2.90678e+02
54	5.40000e+00	1.62844e-02	-3.10637e-03	2.91328e+02
55	5.50000e+00	1.47878e-02	-4.19950e-03	2.92082e+02
